compound,layer,head,binding_score,word1,word2,prompt,tokens,word1_idx,word2_idx,domain,model
screen_reader,0,0,0.2475,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,1,0.449,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,2,0.0,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,3,0.0084,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,4,0.251,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,5,0.2349,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,6,0.2197,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,7,0.2563,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,8,0.2416,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,9,0.2496,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,10,0.0481,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,11,0.0128,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,12,0.1089,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,13,0.2499,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,14,0.2699,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,15,0.2529,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,16,0.7697,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,17,0.2709,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,18,0.3518,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,19,0.0006,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,20,0.2508,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,21,0.2575,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,22,0.0264,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,23,0.1726,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,24,0.2479,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,25,0.5991,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,26,0.1982,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,27,0.192,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,28,0.3634,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,29,0.2153,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,30,0.0417,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,31,0.0723,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,32,0.251,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,33,0.2382,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,34,0.2383,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,35,0.2413,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,36,0.2478,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,37,0.2826,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,38,0.1796,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,0,39,0.0048,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,1,0,0.2045,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,1,1,0.0524,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,1,2,0.0216,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,1,3,0.1021,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,1,4,0.2678,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,1,5,0.1214,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
screen_reader,1,6,0.015,screen,reader,A screen reader is,"['<|endoftext|>', 'A', ' screen', ' reader', ' is']",2,3,accessibility,OLMo-2-1124-13B
