domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
accessibility,decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,"a computer program that reads text on a computer screen. It is used by people who are blind or have low vision. It is also used by people who have difficulty reading text on a computer screen. Screen readers are available for most operating systems and browsers. They are also available for mobile devices.

A screen reader is a computer program that reads text on a computer screen. It is used by people who are blind or have low vision. Screen readers are available for most operating systems and browsers. They are",100,OLMo-2-0425-1B
accessibility,decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,Web Content Accessibility Guidelines. The WCAG is a set of guidelines that help web developers make their websites accessible to people with disabilities. The guidelines are designed to help people with disabilities navigate the web and use the web content. The guidelines are also designed to help people with disabilities use and enjoy the web content. The guidelines are designed to help people with disabilities use and enjoy the web content. The guidelines are designed to help people with disabilities use and enjoy the web content. The guidelines are designed to help people,100,OLMo-2-0425-1B
accessibility,decl_skip_link_001,skip link,declarative,cloze,A skip link is,"a link that is not visible to the user. It is used to hide links that are not relevant to the current page. For example, a link to the home page of a website is not relevant to the current page, so it is hidden. The user can still click on the link, but it will not take them to the home page. This is useful for websites that have many pages, and the user does not want to see all of them. The user can still click on the links",100,OLMo-2-0425-1B
accessibility,decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,to provide a brief description of the image. It is not a substitute for the image itself. It is not a substitute for the image’s title. It is not a substitute for the image’s description. It is not a substitute for the image’s caption. It is not a substitute for the image’s alt attribute. It is not a substitute for the image’s title. It is not a substitute for the image’s description. It is not a substitute for the image’s caption. It is not,100,OLMo-2-0425-1B
accessibility,decl_aria_001,ARIA,declarative,cloze,ARIA stands for,"the “Artificial Intelligence Research Initiative” and is a research program of the European Commission. The program is funded by the European Union and aims to develop artificial intelligence (AI) technologies that will have a positive impact on society. The program is led by the European Commission and is coordinated by the European AI Alliance.

The program is divided into three main areas: research, education and training. The first area focuses on developing new AI technologies that will have a positive impact on society. The second area focuses on",100,OLMo-2-0425-1B
accessibility,decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,"a graphic that is used to help a user focus on a specific area of the screen. A focus indicator can be used to help a user find a specific element on a page, or to help a user navigate through a page. Focus indicators can be used in a variety of ways, including:

  • To help a user find a specific element on a page
  • To help a user navigate through a page
  • To help a user find a specific element on a page
  •",100,OLMo-2-0425-1B
accessibility,decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,"you to navigate through the text of your document. You can use the arrow keys to move the cursor to the next or previous word, or to the beginning or end of the current word. You can also use the tab key to move the cursor to the next or previous character. You can also use the space bar to move the cursor to the next or previous line.

You can also use the arrow keys to move the cursor to the beginning or end of the current line. You can also use the",100,OLMo-2-0425-1B
accessibility,decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,it helps people with low vision see the text on the page. The contrast between the background and the text should be at least 4.5:1. The contrast between the background and the text should be at least 3.0:1. The contrast between the text and the background should be at least 2.0:1. The contrast between the text and the background should be at least 1.0:1. The contrast between the text and the background should be at,100,OLMo-2-0425-1B
accessibility,decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,"you to create semantic HTML. Semantic HTML is a way of writing HTML that makes it easier to read and understand. It is also a way of writing HTML that makes it easier to search for and find information on the web. Semantic HTML is a way of writing HTML that makes it easier to read and understand. It is also a way of writing HTML that makes it easier to search for and find information on the web.

Semantic HTML is a way of writing HTML that makes it easier to read and understand",100,OLMo-2-0425-1B
accessibility,decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,people who are deaf or hard of hearing. They are a way to provide additional information about what is being said. Closed captions are not the same as subtitles. Subtitles are used for people who are not fluent in the language of the film. Closed captions are used for people who are deaf or hard of hearing. They are also used for people who are watching the film with a group of people who do not speak the same language as the film. Closed captions are also used for people who are watching,100,OLMo-2-0425-1B
