domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
medical,oxygen_saturation,oxygen saturation,declarative,cloze,Oxygen saturation refers to,"the degree of oxygen saturation of the blood.

Oxygen saturation refers to the degree of oxygen saturation of the blood.

Oxygen saturation is the ratio of the amount of oxygen in the blood to the amount of oxygen in the blood.

Oxygen saturation is the ratio of the amount of oxygen in the blood to the amount of oxygen in the blood.

Oxygen saturation is the ratio of the amount of oxygen in the blood to the amount of oxygen in the blood.",100,pythia-160m
medical,body_temperature,body temperature,declarative,cloze,Body temperature is,"a key parameter in the regulation of body temperature.
The body temperature (BT) is a key parameter in the regulation of body temperature. The body temperature is a key parameter in the regulation of body temperature. The body temperature is a key parameter in the regulation of body temperature. The body temperature is a key parameter in the regulation of body temperature.
The body temperature is a key parameter in the regulation of body temperature. The body temperature is a key parameter in the regulation of body temperature. The",100,pythia-160m
medical,platelet_count,platelet count,declarative,cloze,Platelet count measures,"in the diagnosis of acute coronary syndrome.
Platelet count (PL) is a useful tool for the diagnosis of acute coronary syndrome. The aim of this study was to evaluate the PL in the diagnosis of acute coronary syndrome. A total of 100 patients with acute coronary syndrome were included in this study. The PL was measured by the use of a standardised method. The patients were divided into two groups: group 1 (n = 50) and group 2 (n = 50). The patients were",100,pythia-160m
medical,metabolic_panel,metabolic panel,declarative,cloze,A metabolic panel is,"a set of measurements of the metabolic activity of a biological system.
The metabolic activity of a biological system is determined by the amount of energy that is available to the system. The metabolic activity of a biological system is determined by the amount of energy that is available to the system. The metabolic activity of a biological system is determined by the amount of energy that is available to the system. The metabolic activity of a biological system is determined by the amount of energy that is available to the system. The metabolic",100,pythia-160m
medical,bacterial_infection,bacterial infection,declarative,cloze,A bacterial infection is caused by,the bacterium *Escherichia coli* and is transmitted by the human host. The infection is usually asymptomatic and can be fatal. The infection can be transmitted by the ingestion of contaminated food or contaminated water. The infection can be transmitted by the ingestion of contaminated food or contaminated water. The infection can be transmitted by the ingestion of contaminated food or contaminated water. The infection can be transmitted by the ingestion of contaminated food or contaminated water. The infection can be transmitted by the ingestion of contaminated food or contaminated water.,100,pythia-160m
medical,magnetic_resonance,magnetic resonance,declarative,cloze,Magnetic resonance imaging is,"a technique that allows the visualization of the brain and other structures in the brain.
The brain is a complex structure that is composed of multiple layers of tissue. The brain is composed of multiple layers of tissue, and the brain is composed of multiple layers of tissue. The brain is composed of multiple layers of tissue, and the brain is composed of multiple layers of tissue. The brain is composed of multiple layers of tissue, and the brain is composed of multiple layers of tissue.
The brain is composed",100,pythia-160m
medical,multiple_sclerosis,multiple sclerosis,declarative,cloze,Multiple sclerosis is,"a chronic inflammatory disease of the central nervous system. The disease is characterized by the progressive loss of motor and sensory functions, and the progressive loss of motor and sensory functions in the central nervous system. The disease is characterized by the progressive loss of motor and sensory functions, and the progressive loss of motor and sensory functions in the central nervous system. The disease is characterized by the progressive loss of motor and sensory functions, and the progressive loss of motor and sensory functions in the central nervous system. The disease is",100,pythia-160m
medical,complete_remission,complete remission,declarative,cloze,Complete remission means,"complete remission.
Complete remission is the most common form of treatment for patients with relapsing-remitting multiple sclerosis (MS). Complete remission is achieved by the administration of a disease-modifying antirheumatic drug (DMARD) or a disease-modifying antirheumatic drug (DMARD) that is effective in the treatment of MS. Complete remission is achieved by the administration of a disease-modifying antirheumatic drug (DMARD) or a disease-modifying",100,pythia-160m
medical,bowel_resection,bowel resection,declarative,cloze,A bowel resection is,"a surgical procedure that removes a portion of the bowel from the body.

A bowel resection is a surgical procedure that removes a portion of the bowel from the body.

A bowel resection is performed to remove a portion of the bowel from the body.

A bowel resection is performed to remove a portion of the bowel from the body.

A bowel resection is performed to remove a portion of the bowel from the body.

A bowel resection is performed to remove a portion of",100,pythia-160m
medical,organ_transplant,organ transplant,declarative,cloze,An organ transplant is,"a person who has been diagnosed with a disease, such as cancer, that is affecting the organ at risk.

The organ at risk (OR) is defined as a person who has been diagnosed with a disease that is affecting the organ at risk.

The organ at risk is defined as a person who has been diagnosed with a disease that is affecting the organ at risk.

The organ at risk is defined as a person who has been diagnosed with a disease that is affecting the organ",100,pythia-160m
