domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
control,blue_sky,blue sky,declarative,cloze,A blue sky is,a sky that is blue. It is a sky that is blue because it is blue. It is a sky that is blue because it is blue. It is a sky that is blue because it is blue. It is a sky that is blue because it is blue. It is a sky that is blue because it is blue. It is a sky that is blue because it is blue. It is a sky that is blue because it is blue. It is a sky that is blue because it is,100,gpt2
control,cold_water,cold water,declarative,cloze,Cold water is typically characterized by,"a low pH, which is a common cause of colds. The pH of cold water is usually lower than that of water that is heated. The pH of cold water is usually higher than that of water that is heated.

Cold water is usually characterized by a low pH, which is a common cause of colds. The pH of cold water is usually lower than that of water that is heated. The pH of cold water is usually higher than that of water that is heated.",100,gpt2
control,ice_cream,ice cream,declarative,cloze,Ice cream is a frozen dessert made from,the frozen cream of the ice cream maker. It is made from the frozen cream of the ice cream maker. It is made from the frozen cream of the ice cream maker. It is made from the frozen cream of the ice cream maker. It is made from the frozen cream of the ice cream maker. It is made from the frozen cream of the ice cream maker. It is made from the frozen cream of the ice cream maker. It is made from the frozen cream of the ice cream maker.,100,gpt2
control,life_jacket,life jacket,declarative,cloze,A life jacket is designed to,"protect your body from the elements. It is made of a durable, lightweight fabric that is breathable and breathable enough to withstand the elements. It is made of a durable, lightweight fabric that is breathable and breathable enough to withstand the elements. It is made of a durable, lightweight fabric that is breathable and breathable enough to withstand the elements. It is made of a durable, lightweight fabric that is breathable and breathable enough to withstand the elements. It is made of a",100,gpt2
control,tea_cup,tea cup,declarative,cloze,A tea cup is a vessel used for,storing tea. It is used to hold tea in a container. It is used to hold tea in a container. It is used to hold tea in a container. It is used to hold tea in a container. It is used to hold tea in a container. It is used to hold tea in a container. It is used to hold tea in a container. It is used to hold tea in a container. It is used to hold tea in a container. It is used to hold tea in,100,gpt2
control,living_room,living room,declarative,cloze,A living room is,"a place where you can relax and enjoy the outdoors. It's a place where you can relax and enjoy the outdoors. It's a place where you can relax and enjoy the outdoors.

A living room is a place where you can relax and enjoy the outdoors. It's a place where you can relax and enjoy the outdoors.

A living room is a place where you can relax and enjoy the outdoors. It's a place where you can relax and enjoy the outdoors.

A",100,gpt2
control,roller_coaster,roller coaster,declarative,cloze,A roller coaster is an amusement ride that,is designed to be fun and enjoyable for all ages. It is a roller coaster that is designed to be fun and enjoyable for all ages. It is a roller coaster that is designed to be fun and enjoyable for all ages. It is a roller coaster that is designed to be fun and enjoyable for all ages. It is a roller coaster that is designed to be fun and enjoyable for all ages. It is a roller coaster that is designed to be fun and enjoyable for all ages. It is a roller,100,gpt2
control,school_bus,school bus,declarative,cloze,A school bus is used to,"transport students from the school to the bus stop.

The bus is used to transport students from the school to the bus stop. Photo: Supplied

The bus is used to transport students from the school to the bus stop. Photo: Supplied

The bus is used to transport students from the school to the bus stop. Photo: Supplied

The bus is used to transport students from the school to the bus stop. Photo: Supplied

The bus is used",100,gpt2
control,grilled_cheese,grilled cheese,declarative,cloze,A grilled cheese sandwich consists of,"a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich, a grilled cheese sandwich,",100,gpt2
control,peanut_butter,peanut butter,declarative,cloze,Peanut butter is made from,"peanuts, but it's also made from peanuts, so it's not as good as peanut butter.

Peanut butter is a good source of protein, but it's not as good as peanut butter.

Peanut butter is a good source of fiber, but it's not as good as peanut butter.

Peanut butter is a good source of vitamin C, but it's not as good as peanut butter.

Peanut butter is a good source of vitamin E,",100,gpt2
