domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
finance,cash_flow,cash flow,declarative,cloze,Cash flow is,"a key driver of the global economy. It is a measure of the amount of money that a firm can make by selling goods and services. It is also a measure of the amount of money that a firm can make by borrowing money.

The global economy is in a period of slow growth. The global economy is in a period of slow growth. The global economy is in a period of slow growth. The global economy is in a period of slow growth. The global economy is in a period",100,pythia-1b
finance,balance_sheet,balance sheet,declarative,cloze,A balance sheet is,"a financial statement that shows the financial position of a company. It is a statement of the financial position of a company, which is prepared by the company and is usually prepared by the company's accounting department. The balance sheet is prepared by the accounting department and is usually prepared by the accounting department.

A balance sheet is a financial statement that shows the financial position of a company. It is a statement of the financial position of a company, which is prepared by the company and is usually prepared by",100,pythia-1b
finance,journal_entry,journal entry,declarative,cloze,A journal entry is,"a written record of a person's thoughts, feelings, and actions. It is a record of a person's thoughts, feelings, and actions in a particular context. It is a record of a person's thoughts, feelings, and actions in a particular context. It is a record of a person's thoughts, feelings, and actions in a particular context. It is a record of a person's thoughts, feelings, and actions in a particular context. It is a record of a person's thoughts,",100,pythia-1b
finance,accelerated_depreciation,accelerated depreciation,declarative,cloze,Accelerated depreciation is,"a common practice in the financial industry. It is a method of reducing the value of a company's assets by reducing the amount of money that the company is required to pay for the assets. The accelerated depreciation method is used to reduce the amount of money that a company must pay for the assets.

The accelerated depreciation method is used to reduce the amount of money that a company must pay for the assets. The accelerated depreciation method is used to reduce the amount of money that a company",100,pythia-1b
finance,impairment_goodwill,impairment goodwill,declarative,cloze,Goodwill impairment occurs when,"a business is unable to meet its financial obligations. Goodwill impairment is a business’s inability to meet its financial obligations.

Goodwill impairment is a business’s inability to meet its financial obligations. Goodwill impairment is a business’s inability to meet its financial obligations.

Goodwill impairment is a business’s inability to meet its financial obligations. Goodwill impairment is a business’s inability to meet its financial obligations.

Goodwill impairment is a business’s inability",100,pythia-1b
finance,yield_maturity,yield maturity,declarative,cloze,Yield to maturity is,"a key factor in determining the price of a commodity. The yield to maturity is the amount of money that a commodity will earn in a given time period. The yield to maturity is a function of the price of the commodity and the time period. The yield to maturity is a function of the price of the commodity and the time period.

The yield to maturity is a function of the price of the commodity and the time period. The yield to maturity is a function of the price of the commodity",100,pythia-1b
finance,bond_coupon,bond coupon,declarative,cloze,A bond coupon is,"a form of debt that is issued by a bank or other financial institution to a borrower. The borrower pays the bank or other financial institution a fixed amount of money, called a coupon, to be paid in the future. The coupon is usually a fixed amount of money, but may be a fixed amount of money per year, per month, or per day. The coupon is usually issued in the form of a promissory note, but may be a promissory note in the form",100,pythia-1b
finance,credit_spread,credit spread,declarative,cloze,A credit spread is,"a measure of the difference between the price of a security and the price of a security that is not the same as the security. The difference between the price of a security and the price of a security that is not the same as the security is called the spread. The spread is a measure of the risk of the security. The spread is a measure of the risk of the security.

A credit spread is a measure of the difference between the price of a security and the price of a security",100,pythia-1b
finance,modified_duration,modified duration,declarative,cloze,Modified duration measures,"of the first 24 hours of life: a systematic review.
The objective of this systematic review was to determine the effect of modified duration measures of the first 24 hours of life on the risk of death or disability in children. A systematic search of the literature was conducted in MEDLINE, EMBASE, CINAHL, and the Cochrane Library. The search strategy was developed by a medical librarian and included the following terms: ""duration of the first 24 hours of life,"" ""modified duration of",100,pythia-1b
finance,interest_swap,interest swap,declarative,cloze,An interest swap is,a financial transaction in which a party buys or sells an interest in a financial asset. An interest swap is a financial transaction in which a party buys or sells an interest in a financial asset. An interest swap is a financial transaction in which a party buys or sells an interest in a financial asset. An interest swap is a financial transaction in which a party buys or sells an interest in a financial asset. An interest swap is a financial transaction in which a party buys or sells an interest in a financial asset,100,pythia-1b
