domain,prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
accessibility,decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,4.8425,3.0978,7.763,2.1347,gpt2-medium
accessibility,decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,4.7992,4.9387,7.2623,0.3691,gpt2-medium
accessibility,decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,5.5555,3.4285,7.763,3.4285,gpt2-medium
accessibility,decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,3.5626,1.3822,8.5565,0.1523,gpt2-medium
accessibility,decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,4.6395,5.9861,7.4348,0.1354,gpt2-medium
accessibility,decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,4.6609,2.7998,7.763,2.0964,gpt2-medium
accessibility,decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,5,4.844,2.1836,6.0022,2.1836,gpt2-medium
accessibility,decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,4.5159,3.5916,6.0343,2.5534,gpt2-medium
accessibility,decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,5,5.4567,4.023,7.7293,3.961,gpt2-medium
accessibility,decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,8,4.6422,6.931,6.931,0.0804,gpt2-medium
accessibility,decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,5,5.975,4.2701,7.763,4.2701,gpt2-medium
accessibility,decl_section_heading_001,section heading,declarative,cloze,A section heading is,5,4.9587,4.6092,7.763,1.5532,gpt2-medium
accessibility,decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,5,5.3522,4.5289,7.763,3.4297,gpt2-medium
accessibility,decl_audio_description_001,audio description,declarative,cloze,An audio description is,5,4.8081,3.8985,7.092,3.1651,gpt2-medium
accessibility,decl_sign_language_001,sign language,declarative,cloze,Sign language is,4,4.4126,4.3115,6.0022,2.7213,gpt2-medium
accessibility,decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,6,5.0078,5.9188,6.2911,2.1301,gpt2-medium
accessibility,decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,5,5.4008,3.5873,7.092,3.5873,gpt2-medium
accessibility,decl_target_size_001,target size,declarative,cloze,A target size is,5,5.4366,3.8153,7.763,3.8153,gpt2-medium
accessibility,decl_touch_target_001,touch target,declarative,cloze,A touch target is,5,5.3995,3.3229,7.763,3.3229,gpt2-medium
accessibility,decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,5,5.2388,3.1146,7.763,3.1146,gpt2-medium
accessibility,decl_focus_appearance_001,focus appearance,declarative,cloze,A focus appearance is,5,4.8017,3.6742,7.763,2.0964,gpt2-medium
accessibility,decl_consistent_help_001,consistent help,declarative,cloze,Consistent help is,5,4.5511,4.1974,6.0022,3.2651,gpt2-medium
accessibility,decl_redundant_entry_001,redundant entry,declarative,cloze,A redundant entry is,5,6.1282,4.6761,7.8437,4.3561,gpt2-medium
accessibility,decl_accessible_authentication_001,accessible authentication,declarative,cloze,Accessible authentication is,5,5.4657,4.1795,7.4168,4.1795,gpt2-medium
