prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,"a type of input device that allows a user to enter data into a computing device. A keyboard interaction may be implemented using a keyboard, a keyboard-like device, or a keyboard-like device with a touchscreen. A keyboard interaction may be implemented using a keyboard, a keyboard-like device, or a keyboard-like device with a touchscreen. A keyboard interaction may be implemented using a keyboard, a keyboard-like device, or a keyboard-like device with a touchscreen. A keyboard",100,EleutherAI/pythia-6.9B
decl_section_heading_001,section heading,declarative,cloze,A section heading is,"a heading that is placed at the beginning of a section. It is usually a short sentence that describes the section.

A section heading is a heading that is placed at the beginning of a section. It is usually a short sentence that describes the section.

−

Section headings are used to organize the content of a section. They are usually short sentences that describe the content of the section.

+

Section headings are used to organize the content of a section",100,EleutherAI/pythia-6.9B
decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,"available for this page.

The following text is a transcript of the video.

The following text is a transcript of the video.

The following text is a transcript of the video.

The following text is a transcript of the video.

The following text is a transcript of the video.

The following text is a transcript of the video.

The following text is a transcript of the video.

The following text is a transcript of the video",100,EleutherAI/pythia-6.9B
decl_audio_description_001,audio description,declarative,cloze,An audio description is,"a description of the sound of a scene, such as a movie, television show, or other audio-visual work. Audio description is a form of closed captioning that provides a description of the sound of a scene, such as a movie, television show, or other audio-visual work. Audio description is a form of closed captioning that provides a description of the sound of a scene, such as a movie, television show, or other audio-visual work. Audio description is a form of",100,EleutherAI/pythia-6.9B
decl_sign_language_001,sign language,declarative,cloze,Sign language is,a language that is used by deaf people to communicate with each other. It is a language that is used by deaf people to communicate with each other. It is a language that is used by deaf people to communicate with each other. It is a language that is used by deaf people to communicate with each other. It is a language that is used by deaf people to communicate with each other. It is a language that is used by deaf people to communicate with each other. It is a language that is,100,EleutherAI/pythia-6.9B
decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,"important for the evaluation of food products. The sensory characteristics of food products are influenced by the composition of the food product, the processing conditions, the storage conditions, and the like.
The sensory characteristics of food products are evaluated by sensory evaluation. The sensory evaluation is performed by a sensory panel. The sensory panel is a group of people who are trained to evaluate the sensory characteristics of food products. The sensory panel evaluates the sensory characteristics of the food products by tasting the food products.
The sensory panel",100,EleutherAI/pythia-6.9B
decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,"to provide a user with a purpose of an input operation. For example, the input purpose may be to select a menu item, to select a function, to select a button, to select a key, to select a character, to select a number, to select a symbol, to select a color, to select a shape, to select a font, to select a background, to select a background color, to select a background image, to select a background pattern, to select a background shape,",100,EleutherAI/pythia-6.9B
decl_target_size_001,target size,declarative,cloze,A target size is,"a size of a target to be hit by a projectile. A target size may be determined by a distance between a projectile and a target, a type of a projectile, a type of a target, a type of a projectile, a type of a target, a type of a projectile, a type of a target, a type of a projectile, a type of a target, a type of a projectile, a type of a target, a type of a project",100,EleutherAI/pythia-6.9B
decl_touch_target_001,touch target,declarative,cloze,A touch target is,"a surface that is touched by a user. Touch targets may be used in a variety of applications, such as touch screens, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads, touch pads,",100,EleutherAI/pythia-6.9B
decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,"a movement in which the user is pulled through the air by a propeller or other device. The drag movement is typically used to propel a vehicle, such as a boat, airplane, or car. The drag movement is also used to propel a person, such as a skier or snowboarder.
A typical drag movement includes a propeller or other device that is attached to a user's body. The propeller or other device is typically attached to the user's body by a",100,EleutherAI/pythia-6.9B
