domain,prompt_id,concept,prompt_type,template_type,prompt,output,max_tokens,model
finance,cash_flow,cash flow,declarative,cloze,Cash flow is,the key to a successful business. It is the lifeblood of your business. It is the fuel that keeps your business running. It is the lifeblood of your business. It is the lifeblood of your business. It is the lifeblood of your business. It is the lifeblood of your business. It is the lifeblood of your business. It is the lifeblood of your business. It is the lifeblood of your business. It is the lifeblood of your business. It is,100,OLMo-2-0425-1B
finance,balance_sheet,balance sheet,declarative,cloze,A balance sheet is,"a financial statement that shows the total assets of a business, the total liabilities, and the total equity of the business. The balance sheet is a snapshot of the financial health of a business at a specific point in time. The balance sheet is a tool that can be used to determine the financial health of a business. The balance sheet is a tool that can be used to determine the financial health of a business. The balance sheet is a tool that can be used to determine the financial health of a business",100,OLMo-2-0425-1B
finance,journal_entry,journal entry,declarative,cloze,A journal entry is,"a written record of a person's thoughts and feelings. It is a record of what a person has done, what he or she has thought, and what he or she has felt. A journal is a record of a person's life. It is a record of a person's thoughts and feelings. It is a record of a person's life. It is a record of a person's life. It is a record of a person's life. It is a record of a person's life.",100,OLMo-2-0425-1B
finance,accelerated_depreciation,accelerated depreciation,declarative,cloze,Accelerated depreciation is,"a tax deduction that allows you to write off the depreciation of your assets over a shorter period of time. This is a great way to reduce your tax bill, but it can also be a great way to reduce your cash flow. If you are a business owner, you may be able to take advantage of accelerated depreciation to reduce your tax bill. However, if you are an individual, you may not be able to take advantage of accelerated depreciation. If you are an individual, you may be able to",100,OLMo-2-0425-1B
finance,impairment_goodwill,impairment goodwill,declarative,cloze,Goodwill impairment occurs when,"a company’s assets are worth less than their fair market value. This is a common occurrence in the business world, and it can be a difficult situation to navigate. If you are a business owner, you may be wondering how to deal with a goodwill impairment. Here are some tips to help you through the process.

What is a Goodwill Impairment?

A goodwill impairment is a decrease in the value of a company’s assets. This can occur when a company’s assets are worth less than their",100,OLMo-2-0425-1B
finance,yield_maturity,yield maturity,declarative,cloze,Yield to maturity is,"the term used to describe the return on a bond. It is the return on the bond if the bond were to mature today. It is calculated by taking the current market price of the bond and dividing it by the face value of the bond. For example, if a bond is trading at $1000 and the face value is $1000, the yield to maturity is 10%. If the bond is trading at $950, the yield to maturity is 8.5%.

The yield to",100,OLMo-2-0425-1B
finance,bond_coupon,bond coupon,declarative,cloze,A bond coupon is,"the price of a bond. It is the interest rate that the bond issuer must pay to the bondholder. The coupon rate is the annual interest rate paid on the bond. The coupon rate is usually expressed as a percentage of the bond's par value. For example, a bond with a par value of $1,000 that pays a 5% coupon rate would have a coupon rate of 5%. The coupon rate is paid semiannually, so the bondholder would receive two annual coupon",100,OLMo-2-0425-1B
finance,credit_spread,credit spread,declarative,cloze,A credit spread is,a type of option that allows you to profit from the spread between the price of two different assets. The credit spread is a type of option that allows you to profit from the spread between the price of two different assets. The credit spread is a type of option that allows you to profit from the spread between the price of two different assets. The credit spread is a type of option that allows you to profit from the spread between the price of two different assets. The credit spread is a type of option,100,OLMo-2-0425-1B
finance,modified_duration,modified duration,declarative,cloze,Modified duration measures,"The modified duration measures are a set of measures that are used to estimate the sensitivity of a bond to changes in interest rates. The modified duration measures are calculated by taking the present value of the cash flows of the bond and discounting them at the risk-free rate. The modified duration measures are calculated by using the following formula:

Modified duration = PV of cash flows of bond / (1 + r) ^ n

where PV is the present value of the cash flows of the bond, r is",100,OLMo-2-0425-1B
finance,interest_swap,interest swap,declarative,cloze,An interest swap is,a type of swap that is used to hedge the risk of interest rate fluctuations. An interest swap is a type of derivative that is used to exchange the interest payments of two parties. The two parties can be two individuals or two companies. The two parties can be in different countries or even different continents. The two parties can be in different industries or even different sectors. The two parties can be in different industries or even different sectors. The two parties can be in different industries or even different sectors. The,100,OLMo-2-0425-1B
