prompt_id,concept,prompt_type,template_type,prompt,n_tokens,mean_entropy,last_token_entropy,max_entropy,min_entropy,model
decl_screen_reader_001,screen reader,declarative,cloze,A screen reader is,5,4.7017,2.0006,7.6199,2.0006,gpt2-large
decl_wcag_001,WCAG,declarative,cloze,WCAG stands for,5,4.4223,4.0149,6.7843,0.2097,gpt2-large
decl_skip_link_001,skip link,declarative,cloze,A skip link is,5,5.2975,2.0313,7.6199,2.0313,gpt2-large
decl_alt_text_001,alt text,declarative,cloze,The purpose of alt text is,7,3.2587,0.9437,8.378,0.1708,gpt2-large
decl_aria_001,ARIA,declarative,cloze,ARIA stands for,5,4.5171,5.5066,6.9849,0.1193,gpt2-large
decl_focus_indicator_001,focus indicator,declarative,cloze,A focus indicator is,5,4.4033,2.0059,7.6199,1.5984,gpt2-large
decl_keyboard_nav_001,keyboard navigation,declarative,cloze,Keyboard navigation allows,5,4.8259,2.4721,6.6702,2.4721,gpt2-large
decl_color_contrast_001,color contrast,declarative,cloze,Color contrast is important because,6,4.5557,3.4138,6.6702,2.4022,gpt2-large
decl_semantic_html_001,semantic HTML,declarative,cloze,Semantic HTML helps,5,4.8428,2.9111,6.6702,2.8692,gpt2-large
decl_captions_001,closed captions,declarative,cloze,Closed captions are used for,8,4.4892,5.9567,6.6702,0.9561,gpt2-large
decl_keyboard_interaction_001,keyboard interaction,declarative,cloze,A keyboard interaction is,5,5.6902,3.5775,7.6199,3.5775,gpt2-large
decl_section_heading_001,section heading,declarative,cloze,A section heading is,5,4.622,3.9666,7.6199,0.4804,gpt2-large
decl_text_alternative_001,text alternative,declarative,cloze,A text alternative is,5,4.9686,3.8227,7.6199,2.5831,gpt2-large
decl_audio_description_001,audio description,declarative,cloze,An audio description is,5,4.642,2.7071,7.0681,2.3003,gpt2-large
decl_sign_language_001,sign language,declarative,cloze,Sign language is,4,4.3249,4.1289,6.6702,2.3911,gpt2-large
decl_sensory_characteristics_001,sensory characteristics,declarative,cloze,Sensory characteristics are,6,5.235,6.0934,6.6702,2.628,gpt2-large
decl_input_purpose_001,input purpose,declarative,cloze,An input purpose is,5,5.7098,3.2947,7.0681,3.2947,gpt2-large
decl_target_size_001,target size,declarative,cloze,A target size is,5,4.9227,3.1131,7.6199,2.7317,gpt2-large
decl_touch_target_001,touch target,declarative,cloze,A touch target is,5,4.8623,2.2157,7.6199,2.2157,gpt2-large
decl_drag_movement_001,drag movement,declarative,cloze,A drag movement is,5,4.9659,3.6779,7.6199,1.8555,gpt2-large
decl_focus_appearance_001,focus appearance,declarative,cloze,A focus appearance is,5,4.6217,3.5305,7.6199,1.5984,gpt2-large
decl_consistent_help_001,consistent help,declarative,cloze,Consistent help is,5,4.7013,4.6621,6.6702,3.1166,gpt2-large
decl_redundant_entry_001,redundant entry,declarative,cloze,A redundant entry is,5,5.8796,3.5937,7.8128,3.5937,gpt2-large
decl_accessible_authentication_001,accessible authentication,declarative,cloze,Accessible authentication is,5,5.2872,3.8026,7.1875,3.8026,gpt2-large
decl_text_spacing_001,text spacing,declarative,cloze,Text spacing is,4,4.6558,4.3939,6.6702,3.3968,gpt2-large
decl_status_message_001,status message,declarative,cloze,A status message is,5,4.9558,3.1472,7.6199,2.8973,gpt2-large
decl_error_identification_001,error identification,declarative,cloze,Error identification is,4,4.8786,3.8459,6.6702,3.8459,gpt2-large
decl_pointer_cancellation_001,pointer cancellation,declarative,cloze,Pointer cancellation is,5,5.3376,3.8161,7.3742,3.8161,gpt2-large
decl_character_key_001,character key,declarative,cloze,A character key is,5,5.2126,2.3826,7.6199,2.3826,gpt2-large
decl_accessibility_tree_001,accessibility tree,declarative,cloze,An accessibility tree is,5,5.1565,1.9136,7.0681,1.9136,gpt2-large
decl_accessible_name_001,accessible name,declarative,cloze,An accessible name is,5,5.467,4.5165,7.0681,3.9525,gpt2-large
decl_accessible_description_001,accessible description,declarative,cloze,An accessible description is,5,4.915,4.6377,7.0681,1.0715,gpt2-large
decl_live_region_001,live region,declarative,cloze,A live region is,5,5.5206,3.2197,7.6199,3.2197,gpt2-large
decl_tab_panel_001,tab panel,declarative,cloze,A tab panel is,5,4.9954,2.251,7.6199,2.251,gpt2-large
decl_radio_group_001,radio group,declarative,cloze,A radio group is,5,5.8021,5.7836,7.6199,4.3512,gpt2-large
decl_tree_grid_001,tree grid,declarative,cloze,A tree grid is,5,5.322,2.5559,7.6199,2.5559,gpt2-large
decl_menu_bar_001,menu bar,declarative,cloze,A menu bar is,5,5.1616,2.5931,7.6199,2.5931,gpt2-large
decl_tool_tip_001,tool tip,declarative,cloze,A tool tip is,5,4.9352,2.2072,7.6199,2.2072,gpt2-large
decl_combo_box_001,combo box,declarative,cloze,A combo box is,5,5.0016,2.1975,7.6199,2.1975,gpt2-large
decl_semantic_markup_001,semantic markup,declarative,cloze,Semantic markup is,5,4.8786,4.0547,6.6702,2.8692,gpt2-large
decl_focus_management_001,focus management,declarative,cloze,Focus management is,4,4.6245,3.5886,6.6702,3.5886,gpt2-large
decl_reading_order_001,reading order,declarative,cloze,Reading order is,4,4.7065,4.3883,6.6702,3.2942,gpt2-large
decl_text_formatting_001,text formatting,declarative,cloze,Text formatting is,4,4.8048,4.6296,6.6702,3.3968,gpt2-large
decl_form_field_001,form field,declarative,cloze,A form field is,5,4.9108,3.5112,7.6199,2.5501,gpt2-large
decl_landmark_region_001,landmark region,declarative,cloze,A landmark region is,5,5.5955,5.0689,7.6199,2.7867,gpt2-large
decl_low_vision_001,low vision,declarative,cloze,Low vision is,4,4.7739,3.42,6.6702,3.42,gpt2-large
decl_cognitive_disabilities_001,cognitive disabilities,declarative,cloze,Cognitive disabilities are,5,5.5791,4.7072,6.6702,3.8292,gpt2-large
decl_universal_design_001,universal design,declarative,cloze,Universal design is,4,5.7953,4.5451,6.7754,4.5451,gpt2-large
decl_decorative_image_001,decorative image,declarative,cloze,A decorative image is,5,5.5113,3.54,7.6199,2.144,gpt2-large
decl_informative_image_001,informative image,declarative,cloze,An informative image is,5,5.7343,4.4276,7.0681,4.4276,gpt2-large
decl_responsive_design_001,responsive design,declarative,cloze,Responsive design is,6,3.9081,3.7728,6.6702,1.3361,gpt2-large
eval_alt_text_001,alt text,evaluative,code_review,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,22,2.7218,1.7123,8.378,0.0294,gpt2-large
eval_div_onclick_001,semantic HTML,evaluative,code_review,A <div> with onclick is not accessible because,12,4.7072,2.7813,7.6199,1.863,gpt2-large
eval_empty_link_001,empty link,evaluative,code_review,The accessibility problem with <a href='#'></a> is,15,3.5721,3.9627,8.378,0.0961,gpt2-large
eval_unlabeled_input_001,form label,evaluative,code_review,<input type='text'> needs a,9,3.1727,6.1712,6.6702,0.2044,gpt2-large
eval_click_here_001,link text,evaluative,code_review,A button that only says 'Click here' is bad because,13,4.5696,2.6613,7.6199,1.3911,gpt2-large
comp_alt_text_few_shot_001,alt text,completion,few_shot,"<img src=""icons/home.png"" alt=""Home""><img src=""icons/mail.png"" alt=""Inbox""><img src=""photo.jpg""",36,1.3809,0.0511,6.7328,0.0075,gpt2-large
comp_alt_text_bare_001,alt text,completion,bare,"<img src=""photo.jpg""",9,2.1626,0.9338,6.6702,0.5234,gpt2-large
comp_captions_few_shot_001,captions,completion,few_shot,"<video src=""intro.mp4""><track kind=""captions"" src=""intro.vtt""></video><video src=""demo.mp4""><track kind=""captions"" src=""demo.vtt""></video><video src=""lecture.mp4"">",61,1.507,6.0346,6.7676,0.0006,gpt2-large
comp_captions_bare_001,captions,completion,bare,"<video src=""lecture.mp4"">",11,2.6525,2.7896,6.6702,0.2337,gpt2-large
comp_page_title_few_shot_001,page title,completion,few_shot,<html><head><title>About Us</title></head><html><head><title>Contact</title></head><html><head>,31,1.6015,6.4705,7.3417,0.0021,gpt2-large
comp_page_title_bare_001,page title,completion,bare,"<html><head><meta charset=""utf-8"">",14,1.4727,3.3066,6.6702,0.0018,gpt2-large
comp_script_bare_001,script,completion,bare,<script,3,4.5418,1.7989,6.6702,1.7989,gpt2-large
comp_script_few_shot_001,script,completion,few_shot,"<script src=""utils.js""></script><script src=""main.js""></script><script src=""",23,1.6598,6.7519,6.7519,0.0165,gpt2-large
hypo_alt_text_direct_001,alt text,hypothesis,direct_question,Look at this HTML: <img src='portrait.jpg'>. What specific attribute is missing to make it accessible?,26,3.1721,4.0609,6.6702,0.7134,gpt2-large
hypo_alt_text_correction_001,alt text,hypothesis,error_correction,Correct the following inaccessible code: <img src='logo.png'>,16,2.9174,3.6416,6.6702,0.3425,gpt2-large
hypo_alt_text_socratic_001,alt text,hypothesis,socratic,A screen reader is software that reads text aloud. Why would a screen reader fail to describe this tag: <img src='chart.svg'>?,32,3.2141,3.8722,7.6199,0.0266,gpt2-large
valid_alt_text_direct_001,alt text,validation,direct_question,The following code is not accessible because it doesn't have what? <img src='photo.jpg'>,22,2.7218,1.7123,8.378,0.0294,gpt2-large
valid_alt_text_instruction_001,alt text,validation,instruction,What accessibility attribute is missing from this HTML: <img src='photo.jpg'>?,19,3.3533,2.4864,6.6702,0.7465,gpt2-large
valid_screen_reader_socratic_001,screen reader,validation,socratic,A screen reader is software that reads text aloud. Why would it fail to describe <img src='chart.svg'>?,27,3.138,3.8715,7.6199,0.0129,gpt2-large
valid_aria_confab_001,ARIA,validation,cloze,ARIA stands for,5,4.5171,5.5066,6.9849,0.1193,gpt2-large
valid_html_confab_001,HTML,validation,cloze,HTML stands for,4,3.0437,0.7194,6.6702,0.1076,gpt2-large
ctrl_cc_cloze_001,closed captions,control,cloze,Closed captions display,6,4.5608,4.9842,6.6702,0.9561,gpt2-large
ctrl_contrast_cloze_001,color contrast,control,cloze,Color contrast is important because,6,4.5557,3.4138,6.6702,2.4022,gpt2-large
ctrl_title_cloze_001,page title,control,cloze,A page title describes,5,4.8029,2.0548,7.6199,2.0548,gpt2-large
ctrl_cc_direct_001,closed captions,control,direct_question,What are closed captions?,7,3.598,1.7268,6.6702,0.1323,gpt2-large
ctrl_contrast_direct_001,color contrast,control,direct_question,What is color contrast?,6,3.9778,1.9704,6.6702,1.3501,gpt2-large
ctrl_title_direct_001,page title,control,direct_question,What is a page title?,7,4.8715,2.1128,8.5078,1.4715,gpt2-large
ctrl_cc_instruction_001,closed captions,control,instruction,Explain closed captions to a web developer.,11,3.8702,3.8762,6.6702,0.1191,gpt2-large
ctrl_contrast_instruction_001,color contrast,control,instruction,Explain color contrast to a web developer.,10,4.3145,3.5456,6.6702,1.9106,gpt2-large
ctrl_title_instruction_001,page title,control,instruction,Explain page titles to a web developer.,10,4.5294,3.1663,6.6702,2.6681,gpt2-large
ctrl_cc_evaluative_001,closed captions,control,evaluative,A video without closed captions is not accessible because,11,3.7519,2.1366,7.6199,0.0011,gpt2-large
ctrl_contrast_evaluative_001,color contrast,control,evaluative,Text with low color contrast is not accessible because,10,4.9787,2.9197,7.3306,2.9197,gpt2-large
ctrl_title_evaluative_001,page title,control,evaluative,A web page without a title is not accessible because,11,4.7122,2.6528,7.6199,2.6528,gpt2-large
ctrl_cc_scenario_001,closed captions,control,scenario,"A deaf user is watching a video on a website. Without closed captions, the user",19,3.8061,3.4277,7.6199,0.004,gpt2-large
ctrl_contrast_scenario_001,color contrast,control,scenario,A low vision user visits a website with poor color contrast. The user,15,4.5812,4.2979,7.6199,2.6184,gpt2-large
ctrl_title_scenario_001,page title,control,scenario,A screen reader user navigates to a web page with no title. The user,17,3.9857,4.5503,7.6199,0.3167,gpt2-large
ctrl_bicycle_cloze_001,bicycle,control,cloze,A bicycle is used for,6,5.0905,4.0547,7.6199,2.1326,gpt2-large
ctrl_bicycle_direct_001,bicycle,control,direct_question,What is a bicycle?,6,5.5909,2.6837,8.5078,2.6837,gpt2-large
ctrl_bicycle_instruction_001,bicycle,control,instruction,Explain bicycles to a web developer.,9,4.1754,4.4019,6.6702,2.6681,gpt2-large
ctrl_bicycle_evaluative_001,bicycle,control,evaluative,A bicycle without brakes is not safe because,9,4.3471,2.8629,7.6199,2.493,gpt2-large
ctrl_bicycle_scenario_001,bicycle,control,scenario,"A child is riding a bicycle on a busy street. Without a helmet, the child",18,3.8515,3.5218,7.6199,1.3457,gpt2-large
